"","recency2","monetary2","frequency2","id","gender","monetary","recency","frequency","duration","purchase","predict222"
"102","1","1","1",12351,"F",208,16,2,20,0,0.0318840579710145
"103","1","1","1",13656,"F",168,16,2,24,0,0.0318840579710145
"104","1","1","1",13657,"F",85,34,2,40,0,0.0318840579710145
"105","1","1","1",12930,"F",54,16,1,16,0,0.0318840579710145
"106","1","1","1",12811,"F",126,14,1,14,0,0.0318840579710145
"107","1","1","1",13539,"F",159,22,1,22,0,0.0318840579710145
"108","1","1","1",12287,"F",116,16,1,16,0,0.0318840579710145
"109","1","1","1",13300,"M",55,14,1,14,0,0.0318840579710145
"110","1","1","1",13906,"F",70,34,2,38,0,0.0318840579710145
"111","1","1","1",12532,"F",146,14,2,18,0,0.0318840579710145
"112","1","1","1",12413,"F",178,32,3,44,0,0.0318840579710145
"113","1","1","1",13626,"M",42,16,2,22,0,0.0318840579710145
"114","1","1","1",12211,"F",180,14,2,18,0,0.0318840579710145
"115","1","1","1",13049,"M",51,34,2,38,0,0.0318840579710145
"116","1","1","1",12217,"F",189,16,1,16,0,0.0318840579710145
"117","1","1","1",12581,"M",31,28,2,36,0,0.0318840579710145
"118","1","1","1",13309,"M",148,16,1,16,0,0.0318840579710145
"119","1","1","1",13187,"F",152,20,1,20,0,0.0318840579710145
"120","1","1","1",13674,"F",53,16,1,16,0,0.0318840579710145
"121","1","1","1",13067,"M",158,32,2,34,0,0.0318840579710145
"122","1","1","1",12869,"F",125,24,2,28,0,0.0318840579710145
"123","1","1","1",13111,"M",118,14,2,22,0,0.0318840579710145
"124","1","1","1",12224,"M",126,14,3,28,0,0.0318840579710145
"125","1","1","1",13800,"F",125,16,2,18,1,0.0318840579710145
"126","1","1","1",12465,"F",140,14,1,14,0,0.0318840579710145
"127","1","1","1",13194,"F",80,16,1,16,0,0.0318840579710145
"128","1","1","1",12185,"F",79,16,1,16,0,0.0318840579710145
"129","1","1","1",12226,"F",124,16,2,22,0,0.0318840579710145
"130","1","1","1",13643,"F",198,24,2,30,0,0.0318840579710145
"131","1","1","1",12715,"F",94,26,3,40,0,0.0318840579710145
"132","1","1","1",12431,"F",174,16,2,22,1,0.0318840579710145
"133","1","1","1",13726,"M",32,14,1,14,0,0.0318840579710145
"134","1","1","1",13202,"F",162,14,2,16,0,0.0318840579710145
"135","1","1","1",13566,"F",128,16,2,20,0,0.0318840579710145
"136","1","1","1",12315,"M",60,16,2,24,0,0.0318840579710145
"137","1","1","1",13690,"F",71,14,1,14,0,0.0318840579710145
"138","1","1","1",12235,"M",181,14,1,14,1,0.0318840579710145
"139","1","1","1",13813,"F",70,18,3,28,0,0.0318840579710145
"140","1","1","1",12400,"F",70,34,2,36,0,0.0318840579710145
"141","1","1","1",12198,"F",96,26,2,28,0,0.0318840579710145
"142","1","1","1",13695,"F",65,16,1,16,0,0.0318840579710145
"143","1","1","1",12604,"F",44,16,2,18,0,0.0318840579710145
"144","1","1","1",13333,"M",156,14,2,20,1,0.0318840579710145
"145","1","1","1",12363,"F",134,16,3,32,0,0.0318840579710145
"146","1","1","1",13335,"M",42,20,2,22,0,0.0318840579710145
"147","1","1","1",12852,"F",199,32,2,40,0,0.0318840579710145
"148","1","1","1",13661,"F",96,36,2,42,0,0.0318840579710145
"149","1","1","1",12572,"F",98,16,2,24,0,0.0318840579710145
"150","1","1","1",13785,"F",83,18,2,24,0,0.0318840579710145
"151","1","1","1",13583,"M",103,18,2,24,0,0.0318840579710145
"152","1","1","1",13301,"F",16,16,1,16,0,0.0318840579710145
"153","1","1","1",13100,"F",124,14,2,20,0,0.0318840579710145
"154","1","1","1",12129,"F",122,14,1,14,0,0.0318840579710145
"155","1","1","1",12698,"M",135,16,2,18,0,0.0318840579710145
"156","1","1","1",12738,"F",176,22,2,28,0,0.0318840579710145
"157","1","1","1",12498,"M",70,20,1,20,0,0.0318840579710145
"158","1","1","1",12701,"M",123,24,2,30,0,0.0318840579710145
"159","1","1","1",13106,"F",100,20,2,26,0,0.0318840579710145
"160","1","1","1",12135,"M",42,14,2,20,0,0.0318840579710145
"161","1","1","1",13351,"F",177,26,1,26,0,0.0318840579710145
"162","1","1","1",12543,"M",174,36,2,38,0,0.0318840579710145
"163","1","1","1",12624,"F",159,34,1,34,0,0.0318840579710145
"164","1","1","1",13717,"M",198,30,1,30,0,0.0318840579710145
"165","1","1","1",13233,"F",206,16,2,24,0,0.0318840579710145
"166","1","1","1",13355,"F",59,16,1,16,0,0.0318840579710145
"167","1","1","1",13234,"F",116,28,1,28,0,0.0318840579710145
"168","1","1","1",12629,"F",205,24,3,34,0,0.0318840579710145
"169","1","1","1",12630,"M",132,32,2,34,0,0.0318840579710145
"170","1","1","1",13683,"F",149,16,2,18,0,0.0318840579710145
"171","1","1","1",12754,"F",156,16,1,16,0,0.0318840579710145
"172","1","1","1",13200,"F",153,26,2,28,0,0.0318840579710145
"173","1","1","1",12229,"F",90,16,2,18,0,0.0318840579710145
"174","1","1","1",12999,"F",69,36,1,36,0,0.0318840579710145
"175","1","1","1",12515,"M",99,14,2,16,0,0.0318840579710145
"176","1","1","1",13931,"F",102,14,1,14,0,0.0318840579710145
"177","1","1","1",13730,"F",185,14,1,14,0,0.0318840579710145
"178","1","1","1",13731,"F",148,28,3,40,0,0.0318840579710145
"179","1","1","1",13368,"F",177,30,1,30,0,0.0318840579710145
"180","1","1","1",12277,"F",199,14,2,20,0,0.0318840579710145
"181","1","1","1",13452,"M",159,32,2,36,0,0.0318840579710145
"182","1","1","1",13007,"F",82,16,2,22,0,0.0318840579710145
"183","1","1","1",13250,"M",91,16,1,16,0,0.0318840579710145
"184","1","1","1",13413,"F",58,16,2,20,0,0.0318840579710145
"185","1","1","1",12525,"F",156,14,2,20,0,0.0318840579710145
"186","1","1","1",13375,"F",137,16,1,16,0,0.0318840579710145
"187","1","1","1",12284,"F",56,14,2,22,0,0.0318840579710145
"188","1","1","1",13944,"F",190,16,2,20,0,0.0318840579710145
"189","1","1","1",13945,"F",90,16,1,16,0,0.0318840579710145
"190","1","1","1",12652,"F",141,24,2,28,0,0.0318840579710145
"191","1","1","1",13056,"F",148,16,1,16,0,0.0318840579710145
"192","1","1","1",13584,"F",50,16,1,16,0,0.0318840579710145
"193","1","1","1",12049,"M",133,26,1,26,0,0.0318840579710145
"194","1","1","1",12655,"M",111,14,1,14,0,0.0318840579710145
"195","1","1","1",12131,"F",178,26,2,32,0,0.0318840579710145
"196","1","1","1",13386,"M",188,22,1,22,0,0.0318840579710145
"197","1","1","1",12215,"F",163,14,2,18,0,0.0318840579710145
"198","1","1","1",12133,"F",50,16,1,16,0,0.0318840579710145
"199","1","1","1",13753,"F",135,22,2,24,0,0.0318840579710145
"200","1","1","1",12663,"F",181,16,1,16,0,0.0318840579710145
"201","1","1","1",12662,"M",152,16,1,16,0,0.0318840579710145
"202","1","1","1",13149,"F",144,14,1,14,0,0.0318840579710145
"203","1","1","1",13756,"F",159,14,1,14,0,0.0318840579710145
"204","1","1","1",12788,"M",206,14,2,16,0,0.0318840579710145
"205","1","1","1",13152,"F",76,30,1,30,0,0.0318840579710145
"206","1","1","1",13395,"F",134,22,2,28,0,0.0318840579710145
"207","1","1","1",12668,"F",201,32,1,32,0,0.0318840579710145
"208","1","1","1",13640,"F",97,16,2,18,0,0.0318840579710145
"209","1","1","1",12670,"F",111,18,2,20,0,0.0318840579710145
"210","1","1","1",13157,"M",33,14,2,16,0,0.0318840579710145
"211","1","1","1",13400,"M",196,32,2,36,0,0.0318840579710145
"212","1","1","1",13158,"F",170,14,1,14,0,0.0318840579710145
"213","1","1","1",13240,"F",80,22,2,30,0,0.0318840579710145
"214","1","1","1",13888,"F",113,16,1,16,0,0.0318840579710145
"215","1","1","1",12676,"F",18,16,1,16,0,0.0318840579710145
"216","1","1","1",13365,"F",120,14,2,20,0,0.0318840579710145
"217","1","1","1",13406,"M",51,16,2,18,0,0.0318840579710145
"218","1","1","1",13083,"F",104,18,1,18,0,0.0318840579710145
"219","1","1","1",13287,"F",75,16,2,20,0,0.0318840579710145
"220","1","1","1",13288,"F",131,14,1,14,0,0.0318840579710145
"221","1","1","1",13370,"F",182,14,2,18,0,0.0318840579710145
"222","1","1","1",13047,"F",82,16,3,26,0,0.0318840579710145
"223","1","1","1",13816,"F",156,24,2,28,0,0.0318840579710145
"224","1","1","1",13453,"F",193,20,1,20,0,0.0318840579710145
"225","1","1","1",13899,"M",58,16,1,16,0,0.0318840579710145
"226","1","1","1",12323,"F",147,16,1,16,0,0.0318840579710145
"227","1","1","1",12931,"M",114,14,2,16,0,0.0318840579710145
"228","1","1","1",13660,"F",53,32,2,36,0,0.0318840579710145
"229","1","1","1",12772,"M",105,18,1,18,0,0.0318840579710145
"230","1","1","1",12329,"F",35,18,1,18,0,0.0318840579710145
"231","1","1","1",12732,"F",200,16,2,18,0,0.0318840579710145
"232","1","1","1",12046,"F",88,16,1,16,0,0.0318840579710145
"233","1","1","1",13098,"F",132,14,2,22,0,0.0318840579710145
"234","1","1","1",13423,"F",123,34,1,34,0,0.0318840579710145
"235","1","1","1",13181,"F",80,16,1,16,0,0.0318840579710145
"236","1","1","1",12616,"M",130,14,2,22,0,0.0318840579710145
"237","1","1","1",13951,"F",20,26,1,26,0,0.0318840579710145
"238","1","1","1",13389,"M",112,16,2,18,0,0.0318840579710145
"239","1","1","1",12579,"F",176,20,3,36,1,0.0318840579710145
"240","1","1","1",13914,"F",78,16,1,16,0,0.0318840579710145
"241","1","1","1",13673,"F",100,14,1,14,0,0.0318840579710145
"242","1","1","1",12096,"F",120,14,1,14,0,0.0318840579710145
"243","1","1","1",13796,"F",38,14,2,18,0,0.0318840579710145
"244","1","1","1",12948,"F",105,16,2,22,0,0.0318840579710145
"245","1","1","1",13070,"F",126,16,1,16,0,0.0318840579710145
"246","1","1","1",13071,"M",33,16,1,16,0,0.0318840579710145
"247","1","1","1",12020,"F",68,16,1,16,0,0.0318840579710145
"248","1","1","1",13153,"F",121,26,1,26,0,0.0318840579710145
"249","1","1","1",13924,"F",67,34,2,38,0,0.0318840579710145
"250","1","1","1",13803,"F",178,16,1,16,0,0.0318840579710145
"251","1","1","1",13723,"M",43,26,1,26,0,0.0318840579710145
"252","1","1","1",12470,"M",61,16,2,20,0,0.0318840579710145
"253","1","1","1",13845,"F",150,30,1,30,0,0.0318840579710145
"254","1","1","1",12391,"M",132,16,2,22,0,0.0318840579710145
"255","1","1","1",13080,"F",115,30,2,34,0,0.0318840579710145
"256","1","1","1",13000,"F",69,16,2,22,0,0.0318840579710145
"257","1","1","1",13607,"F",151,16,2,24,0,0.0318840579710145
"258","1","1","1",13487,"M",35,14,2,16,0,0.0318840579710145
"259","1","1","1",12153,"M",92,16,1,16,0,0.0318840579710145
"260","1","1","1",12478,"F",22,20,1,20,0,0.0318840579710145
"261","1","1","1",12237,"F",117,34,1,34,0,0.0318840579710145
"262","1","1","1",13209,"F",188,18,2,22,0,0.0318840579710145
"263","1","1","1",12804,"F",106,24,2,26,0,0.0318840579710145
"264","1","1","1",13573,"M",122,16,1,16,0,0.0318840579710145
"265","1","1","1",13211,"F",156,14,1,14,0,0.0318840579710145
"266","1","1","1",13980,"M",94,14,3,22,0,0.0318840579710145
"267","1","1","1",13577,"M",176,14,1,14,0,0.0318840579710145
"268","1","1","1",12608,"F",189,18,3,32,0,0.0318840579710145
"269","1","1","1",13903,"F",20,20,1,20,0,0.0318840579710145
"270","1","1","1",13702,"F",206,14,1,14,0,0.0318840579710145
"271","1","1","1",13015,"M",179,24,1,24,0,0.0318840579710145
"272","1","1","1",13340,"F",26,16,1,16,0,0.0318840579710145
"273","1","1","1",13380,"F",84,14,2,22,0,0.0318840579710145
"274","1","1","1",13342,"F",88,14,1,14,0,0.0318840579710145
"275","1","1","1",13140,"F",54,16,2,20,0,0.0318840579710145
"276","1","1","1",12777,"F",187,28,2,34,0,0.0318840579710145
"277","1","1","1",12050,"F",182,32,1,32,0,0.0318840579710145
"278","1","1","1",12335,"F",144,16,1,16,0,0.0318840579710145
"279","1","1","1",12780,"M",126,14,1,14,0,0.0318840579710145
"280","1","1","1",12984,"M",85,16,1,16,0,0.0318840579710145
"281","1","1","1",13874,"F",53,20,1,20,0,0.0318840579710145
"282","1","1","1",13350,"M",140,18,1,18,0,0.0318840579710145
"283","1","1","1",13715,"M",114,24,2,28,0,0.0318840579710145
"284","1","1","1",13594,"F",66,30,1,30,0,0.0318840579710145
"285","1","1","1",13474,"M",209,22,1,22,0,0.0318840579710145
"286","1","1","1",13475,"F",22,14,1,14,0,0.0318840579710145
"287","1","1","1",13880,"F",138,28,2,30,0,0.0318840579710145
"288","1","1","1",13961,"F",182,14,1,14,0,0.0318840579710145
"289","1","1","1",13248,"F",151,14,1,14,0,0.0318840579710145
"290","1","1","1",12751,"F",41,28,2,36,0,0.0318840579710145
"291","1","1","1",12914,"F",63,24,2,26,0,0.0318840579710145
"292","1","1","1",12268,"M",40,22,1,22,0,0.0318840579710145
"293","1","1","1",12134,"F",142,14,1,14,0,0.0318840579710145
"294","1","1","1",13118,"F",49,36,2,44,0,0.0318840579710145
"295","1","1","1",13484,"F",77,16,2,18,0,0.0318840579710145
"296","1","1","1",12149,"F",111,36,1,36,0,0.0318840579710145
"297","1","1","1",12678,"M",115,16,2,20,0,0.0318840579710145
"298","1","1","1",13863,"M",29,16,1,16,0,0.0318840579710145
"299","1","1","1",13932,"F",146,16,2,22,0,0.0318840579710145
"300","1","1","1",12154,"M",126,14,2,20,1,0.0318840579710145
"301","1","1","1",13490,"M",120,14,2,18,0,0.0318840579710145
"302","1","1","1",12816,"M",97,26,1,26,0,0.0318840579710145
"303","1","1","1",13815,"M",134,20,1,20,0,0.0318840579710145
"304","1","1","1",12427,"F",133,32,1,32,0,0.0318840579710145
"305","1","1","1",13170,"M",172,16,1,16,0,0.0318840579710145
"306","1","1","1",13885,"M",142,14,2,18,0,0.0318840579710145
"307","1","1","1",13253,"M",178,26,2,30,0,0.0318840579710145
"308","1","1","1",12405,"F",74,14,1,14,0,0.0318840579710145
"309","1","1","1",12366,"F",35,16,2,20,0,0.0318840579710145
"310","1","1","1",13378,"F",166,34,2,40,0,0.0318840579710145
"311","1","1","1",13877,"M",159,16,2,18,0,0.0318840579710145
"312","1","1","1",13029,"F",172,14,2,18,0,0.0318840579710145
"313","1","1","1",12545,"M",191,20,1,20,0,0.0318840579710145
"314","1","1","1",13503,"F",207,32,1,32,0,0.0318840579710145
"315","1","1","1",13273,"F",43,16,1,16,0,0.0318840579710145
"316","1","1","1",13989,"F",203,16,2,24,0,0.0318840579710145
"317","1","1","1",12883,"F",42,18,2,20,0,0.0318840579710145
"318","1","1","1",13025,"F",101,16,2,24,0,0.0318840579710145
"319","1","1","1",13627,"F",129,22,2,30,0,0.0318840579710145
"320","1","1","1",13752,"F",112,34,1,34,0,0.0318840579710145
"321","1","1","1",13590,"F",106,16,1,16,0,0.0318840579710145
"322","1","1","1",13875,"F",48,32,1,32,0,0.0318840579710145
"323","1","1","1",12904,"M",169,14,3,24,1,0.0318840579710145
"324","1","1","1",13606,"F",174,14,2,16,0,0.0318840579710145
"325","1","1","1",13957,"M",35,14,1,14,0,0.0318840579710145
"326","1","1","1",13918,"M",39,26,1,26,1,0.0318840579710145
"327","1","1","1",13192,"F",183,18,1,18,0,0.0318840579710145
"328","1","1","1",12317,"M",183,32,2,40,0,0.0318840579710145
"329","1","1","1",12682,"F",73,14,1,14,0,0.0318840579710145
"330","1","1","1",13260,"F",60,14,1,14,0,0.0318840579710145
"331","1","1","1",13964,"F",32,16,1,16,0,0.0318840579710145
"332","1","1","1",12850,"F",49,24,1,24,0,0.0318840579710145
"333","1","1","1",12406,"F",103,14,2,18,0,0.0318840579710145
"334","1","1","1",13900,"F",99,16,1,16,0,0.0318840579710145
"335","1","1","1",13968,"F",109,32,2,38,0,0.0318840579710145
"336","1","1","1",12073,"F",178,26,2,28,0,0.0318840579710145
"337","1","1","1",12302,"M",195,24,2,32,0,0.0318840579710145
"338","1","1","1",13948,"F",203,14,2,20,0,0.0318840579710145
"339","1","1","1",13913,"F",176,20,1,20,0,0.0318840579710145
"340","1","1","1",12081,"M",109,14,2,20,0,0.0318840579710145
"341","1","1","1",13915,"M",83,18,1,18,0,0.0318840579710145
"342","1","1","1",13635,"F",57,18,1,18,0,0.0318840579710145
"343","1","1","1",13959,"F",180,16,2,24,0,0.0318840579710145
"344","1","1","1",13634,"M",118,14,1,14,0,0.0318840579710145
"345","1","1","1",13873,"F",132,28,2,30,0,0.0318840579710145
"346","1","1","2",13776,"F",196,16,4,36,0,0.08
"347","1","1","2",12430,"M",104,30,5,52,0,0.08
"348","1","1","2",12199,"F",125,22,8,44,0,0.08
"349","1","1","2",13574,"F",82,14,4,22,0,0.08
"350","1","1","2",13697,"F",65,14,4,32,0,0.08
"351","1","1","2",13458,"M",198,16,8,34,0,0.08
"352","1","1","2",12064,"M",203,36,11,84,0,0.08
"353","1","1","2",12574,"F",204,32,4,44,0,0.08
"354","1","1","2",13611,"F",205,14,12,56,0,0.08
"355","1","1","2",12071,"F",161,32,9,70,0,0.08
"356","1","1","2",13667,"F",163,22,10,62,0,0.08
"357","1","1","2",12067,"M",198,16,5,36,1,0.08
"358","1","1","2",12508,"F",188,36,6,62,0,0.08
"359","1","1","2",13950,"F",143,24,4,40,0,0.08
"360","1","1","2",12270,"F",176,14,4,36,0,0.08
"361","1","1","2",13572,"M",191,34,7,70,0,0.08
"362","1","1","2",12723,"F",115,14,5,24,0,0.08
"363","1","1","2",12834,"F",140,16,4,28,0,0.08
"364","1","1","2",13177,"M",159,16,7,42,0,0.08
"365","1","1","2",13852,"F",182,14,8,52,0,0.08
"366","1","1","2",12595,"M",208,28,9,60,0,0.08
"367","1","1","2",12368,"F",159,28,4,52,0,0.08
"368","1","1","2",13921,"F",154,14,8,32,1,0.08
"369","1","1","2",12399,"M",120,16,6,48,1,0.08
"370","1","1","2",13978,"F",142,16,6,46,0,0.08
"371","1","1","2",12644,"M",135,14,8,38,0,0.08
"372","1","1","2",12201,"M",138,14,5,30,0,0.08
"373","1","1","2",13941,"F",163,16,10,40,0,0.08
"374","1","1","2",12136,"F",72,36,4,54,0,0.08
"375","1","1","2",13521,"M",119,34,7,66,0,0.08
"376","1","1","2",13267,"F",185,26,5,50,0,0.08
"377","1","1","2",12998,"M",157,30,8,46,0,0.08
"378","1","1","2",12085,"F",125,14,6,46,0,0.08
"379","1","1","2",12851,"M",155,30,6,44,1,0.08
"380","1","1","2",12454,"M",91,16,5,42,0,0.08
"381","1","1","2",13975,"F",198,16,5,34,0,0.08
"382","1","1","2",13586,"F",172,26,10,48,0,0.08
"383","1","1","2",13343,"F",155,14,5,26,0,0.08
"384","1","1","2",12967,"F",73,14,4,28,0,0.08
"385","1","1","2",12187,"F",199,14,10,40,0,0.08
"386","1","1","2",13763,"F",175,22,9,54,0,0.08
"387","1","1","2",12607,"F",172,24,4,46,0,0.08
"388","1","1","2",12216,"F",153,26,5,54,0,0.08
"389","1","1","2",12392,"M",135,16,4,26,0,0.08
"390","1","1","2",12689,"F",184,18,5,30,0,0.08
"391","1","1","2",13214,"F",200,14,5,30,0,0.08
"392","1","1","2",13219,"F",181,14,7,42,0,0.08
"393","1","1","2",12871,"F",186,14,9,48,0,0.08
"394","1","1","2",12546,"F",170,32,6,46,0,0.08
"395","1","1","2",12464,"F",178,16,11,72,0,0.08
"396","1","1","2",12236,"M",61,16,4,38,0,0.08
"397","1","1","2",13545,"F",152,18,7,44,0,0.08
"398","1","1","2",12318,"M",143,16,5,44,0,0.08
"399","1","1","2",13818,"M",97,16,6,42,1,0.08
"400","1","1","2",13724,"M",152,36,7,60,0,0.08
"401","1","1","2",12876,"F",173,32,10,74,0,0.08
"402","1","1","2",13297,"F",184,20,12,78,0,0.08
"403","1","1","2",13227,"F",75,16,5,44,0,0.08
"404","1","1","2",12496,"F",202,16,10,74,0,0.08
"405","1","1","2",13133,"F",186,22,6,56,0,0.08
"406","1","1","2",12304,"F",107,14,6,36,0,0.08
"407","1","1","2",13460,"M",77,16,4,30,0,0.08
"408","1","1","2",12720,"F",206,18,4,36,0,0.08
"409","1","1","2",13139,"F",106,14,4,26,0,0.08
"410","1","1","2",13089,"F",199,24,7,54,0,0.08
"411","1","1","2",12857,"M",141,30,6,50,0,0.08
"412","1","1","2",12227,"F",167,18,5,32,0,0.08
"413","1","1","2",13682,"F",108,16,7,54,1,0.08
"414","1","1","2",13010,"F",157,14,4,32,0,0.08
"415","1","1","2",13349,"F",160,22,6,42,0,0.08
"416","1","1","2",13145,"M",182,14,12,38,1,0.08
"417","1","1","2",13347,"F",183,30,10,54,0,0.08
"418","1","1","2",13992,"F",122,16,6,40,0,0.08
"419","1","1","2",12691,"F",206,26,8,66,0,0.08
"420","1","1","2",12340,"F",163,26,9,48,0,0.08
