id,gender,monetary,recency,frequency,duration,purchase,recency2,monetary2,frequency2,predict222,recency3,monetary3,frequency3,predict555
13121,M,314,4,2,10,0,2,2,1,0.116607774,5,5,2,0.285714286
13768,F,325,4,2,10,0,2,2,1,0.116607774,5,5,2,0.285714286
12593,M,325,4,2,12,0,2,2,1,0.116607774,5,5,2,0.285714286
12654,F,301,2,2,8,0,2,2,1,0.116607774,5,5,2,0.285714286
12573,F,315,2,2,10,1,2,2,1,0.116607774,5,5,2,0.285714286
12681,F,305,2,2,10,1,2,2,1,0.116607774,5,5,2,0.285714286
13399,M,311,4,2,8,0,2,2,1,0.116607774,5,5,2,0.285714286
12824,F,314,4,2,8,1,2,2,1,0.116607774,5,5,2,0.285714286
13065,F,328,2,2,8,0,2,2,1,0.116607774,5,5,2,0.285714286
13314,F,305,2,2,6,0,2,2,1,0.116607774,5,5,2,0.285714286
12193,F,308,2,2,10,0,2,2,1,0.116607774,5,5,2,0.285714286
13481,F,328,2,2,8,0,2,2,1,0.116607774,5,5,2,0.285714286
13322,M,371,4,6,38,0,2,2,2,0.174418605,5,5,4,0.277777778
12964,M,366,2,9,36,0,2,2,2,0.174418605,5,5,4,0.277777778
13591,F,324,4,6,20,0,2,2,2,0.174418605,5,5,4,0.277777778
12432,F,317,4,9,22,1,2,2,2,0.174418605,5,5,4,0.277777778
13847,F,401,2,8,36,0,2,2,2,0.174418605,5,5,4,0.277777778
12771,M,356,4,6,22,1,2,2,2,0.174418605,5,5,4,0.277777778
13821,F,366,4,7,24,0,2,2,2,0.174418605,5,5,4,0.277777778
12714,F,354,4,7,44,0,2,2,2,0.174418605,5,5,4,0.277777778
13062,M,316,4,7,44,0,2,2,2,0.174418605,5,5,4,0.277777778
12908,F,323,2,7,20,0,2,2,2,0.174418605,5,5,4,0.277777778
12292,M,397,2,8,34,0,2,2,2,0.174418605,5,5,4,0.277777778
12408,F,374,4,7,18,0,2,2,2,0.174418605,5,5,4,0.277777778
12207,F,309,4,9,56,0,2,2,2,0.174418605,5,5,4,0.277777778
13762,F,370,4,8,38,0,2,2,2,0.174418605,5,5,4,0.277777778
12111,M,414,2,8,46,1,2,2,2,0.174418605,5,5,4,0.277777778
12980,F,357,2,6,20,1,2,2,2,0.174418605,5,5,4,0.277777778
13541,F,404,2,9,42,0,2,2,2,0.174418605,5,5,4,0.277777778
13917,F,328,4,6,38,1,2,2,2,0.174418605,5,5,4,0.277777778
13492,F,137,6,2,12,0,2,1,1,0.052511416,4,2,2,0.266666667
13952,M,172,8,2,14,1,2,1,1,0.052511416,4,2,2,0.266666667
12769,M,162,8,2,12,1,2,1,1,0.052511416,4,2,2,0.266666667
12926,F,126,8,2,16,0,2,1,1,0.052511416,4,2,2,0.266666667
12319,M,179,8,2,16,0,2,1,1,0.052511416,4,2,2,0.266666667
13212,M,147,8,2,12,1,2,1,1,0.052511416,4,2,2,0.266666667
13198,F,154,6,2,14,0,2,1,1,0.052511416,4,2,2,0.266666667
12886,F,134,6,2,14,0,2,1,1,0.052511416,4,2,2,0.266666667
13791,F,153,8,2,16,0,2,1,1,0.052511416,4,2,2,0.266666667
13004,F,177,8,2,14,0,2,1,1,0.052511416,4,2,2,0.266666667
13710,M,163,6,2,14,0,2,1,1,0.052511416,4,2,2,0.266666667
12741,M,117,8,2,16,0,2,1,1,0.052511416,4,2,2,0.266666667
13394,F,118,8,2,12,1,2,1,1,0.052511416,4,2,2,0.266666667
12476,F,124,6,2,10,0,2,1,1,0.052511416,4,2,2,0.266666667
12528,F,121,8,2,12,0,2,1,1,0.052511416,4,2,2,0.266666667
13618,M,152,10,8,40,0,2,1,2,0.155339806,3,2,4,0.25
12708,F,165,12,8,32,1,2,1,2,0.155339806,3,2,4,0.25
13692,M,162,10,7,44,0,2,1,2,0.155339806,3,2,4,0.25
12264,F,177,10,7,46,1,2,1,2,0.155339806,3,2,4,0.25
12764,M,144,12,9,50,0,2,1,2,0.155339806,3,2,4,0.25
13104,M,153,12,8,44,0,2,1,2,0.155339806,3,2,4,0.25
12917,M,159,12,7,44,0,2,1,2,0.155339806,3,2,4,0.25
12921,M,130,12,7,42,1,2,1,2,0.155339806,3,2,4,0.25
12800,F,114,10,6,38,0,2,1,2,0.155339806,3,2,4,0.25
13571,F,123,12,7,28,0,2,1,2,0.155339806,3,2,4,0.25
12491,F,176,10,6,32,0,2,1,2,0.155339806,3,2,4,0.25
13310,F,147,10,7,44,0,2,1,2,0.155339806,3,2,4,0.25
13228,F,154,10,8,42,0,2,1,2,0.155339806,3,2,4,0.25
12516,F,181,10,8,28,0,2,1,2,0.155339806,3,2,4,0.25
12494,M,155,10,8,44,0,2,1,2,0.155339806,3,2,4,0.25
12718,M,159,10,8,38,1,2,1,2,0.155339806,3,2,4,0.25
12174,F,233,12,11,68,0,2,2,2,0.174418605,3,3,5,0.25
12353,F,224,10,10,62,1,2,2,2,0.174418605,3,3,5,0.25
13805,F,227,10,10,44,0,2,2,2,0.174418605,3,3,5,0.25
12694,M,190,12,11,62,0,2,1,2,0.155339806,3,3,5,0.25
12092,F,184,10,10,66,1,2,1,2,0.155339806,3,3,5,0.25
12745,F,200,12,11,54,0,2,1,2,0.155339806,3,3,5,0.25
12125,F,206,12,12,38,0,2,1,2,0.155339806,3,3,5,0.25
13761,F,190,10,11,48,0,2,1,2,0.155339806,3,3,5,0.25
13530,F,267,8,11,48,0,2,2,2,0.174418605,4,4,5,0.25
13178,M,268,8,12,58,0,2,2,2,0.174418605,4,4,5,0.25
13854,F,280,6,11,66,1,2,2,2,0.174418605,4,4,5,0.25
12447,F,261,6,10,54,0,2,2,2,0.174418605,4,4,5,0.25
13457,F,255,6,11,68,1,2,2,2,0.174418605,4,4,5,0.25
12214,M,258,8,10,44,0,2,2,2,0.174418605,4,4,5,0.25
12878,M,253,8,10,30,0,2,2,2,0.174418605,4,4,5,0.25
13435,F,291,6,10,32,1,2,2,2,0.174418605,4,4,5,0.25
12310,F,298,8,12,60,0,2,2,2,0.174418605,4,4,5,0.25
13798,F,270,6,12,76,0,2,2,2,0.174418605,4,4,5,0.25
12530,F,254,6,10,58,0,2,2,2,0.174418605,4,4,5,0.25
13533,F,253,6,12,38,0,2,2,2,0.174418605,4,4,5,0.25
13672,F,320,6,3,18,0,2,2,1,0.116607774,4,5,3,0.25
13419,M,323,8,4,20,0,2,2,2,0.174418605,4,5,3,0.25
13244,F,345,6,5,20,0,2,2,2,0.174418605,4,5,3,0.25
13059,F,340,8,3,16,1,2,2,1,0.116607774,4,5,3,0.25
13464,F,61,4,4,12,0,2,1,2,0.155339806,5,1,3,0.222222222
12354,F,89,4,4,18,0,2,1,2,0.155339806,5,1,3,0.222222222
13390,F,61,4,3,16,0,2,1,1,0.052511416,5,1,3,0.222222222
13669,F,47,2,3,10,1,2,1,1,0.052511416,5,1,3,0.222222222
13664,M,89,4,4,20,0,2,1,2,0.155339806,5,1,3,0.222222222
12768,F,75,4,4,26,1,2,1,2,0.155339806,5,1,3,0.222222222
13028,F,82,4,3,20,0,2,1,1,0.052511416,5,1,3,0.222222222
12744,M,99,4,3,16,0,2,1,1,0.052511416,5,1,3,0.222222222
12825,F,100,2,3,12,0,2,1,1,0.052511416,5,1,3,0.222222222
12444,F,276,4,9,26,0,2,2,2,0.174418605,5,4,4,0.222222222
12982,F,268,2,6,18,0,2,2,2,0.174418605,5,4,4,0.222222222
12872,F,259,4,9,34,0,2,2,2,0.174418605,5,4,4,0.222222222
12808,M,260,2,9,50,0,2,2,2,0.174418605,5,4,4,0.222222222
13305,M,270,2,7,22,1,2,2,2,0.174418605,5,4,4,0.222222222
12613,M,296,4,9,34,0,2,2,2,0.174418605,5,4,4,0.222222222
13585,F,267,4,8,50,0,2,2,2,0.174418605,5,4,4,0.222222222
13742,F,289,4,6,28,1,2,2,2,0.174418605,5,4,4,0.222222222
12526,F,297,2,8,20,0,2,2,2,0.174418605,5,4,4,0.222222222
12441,M,405,6,12,70,1,2,2,2,0.174418605,4,5,5,0.208333333
13817,F,377,6,12,34,1,2,2,2,0.174418605,4,5,5,0.208333333
13075,F,429,8,10,40,1,2,2,2,0.174418605,4,5,5,0.208333333
13415,M,304,6,12,38,1,2,2,2,0.174418605,4,5,5,0.208333333
13614,F,338,6,11,30,0,2,2,2,0.174418605,4,5,5,0.208333333
13436,F,418,6,10,54,0,2,2,2,0.174418605,4,5,5,0.208333333
13353,F,416,8,10,36,0,2,2,2,0.174418605,4,5,5,0.208333333
13021,M,393,8,11,62,0,2,2,2,0.174418605,4,5,5,0.208333333
13292,F,309,8,12,58,0,2,2,2,0.174418605,4,5,5,0.208333333
13175,M,352,6,11,58,0,2,2,2,0.174418605,4,5,5,0.208333333
13131,F,322,6,10,36,0,2,2,2,0.174418605,4,5,5,0.208333333
12390,F,409,6,10,42,0,2,2,2,0.174418605,4,5,5,0.208333333
13868,M,399,8,10,54,0,2,2,2,0.174418605,4,5,5,0.208333333
13220,F,408,8,10,50,1,2,2,2,0.174418605,4,5,5,0.208333333
13605,M,424,6,11,58,0,2,2,2,0.174418605,4,5,5,0.208333333
12501,F,311,8,10,46,0,2,2,2,0.174418605,4,5,5,0.208333333
13905,F,423,8,11,34,0,2,2,2,0.174418605,4,5,5,0.208333333
13257,F,347,6,11,38,0,2,2,2,0.174418605,4,5,5,0.208333333
13856,F,394,8,11,72,0,2,2,2,0.174418605,4,5,5,0.208333333
12864,F,335,8,12,38,0,2,2,2,0.174418605,4,5,5,0.208333333
13552,M,448,6,10,60,0,2,2,2,0.174418605,4,5,5,0.208333333
12636,M,337,8,12,48,0,2,2,2,0.174418605,4,5,5,0.208333333
12257,F,415,8,10,62,0,2,2,2,0.174418605,4,5,5,0.208333333
13655,F,406,6,12,48,0,2,2,2,0.174418605,4,5,5,0.208333333
13219,F,181,14,7,42,0,1,1,2,0.08,2,2,4,0.2
12085,F,125,14,6,46,0,1,1,2,0.08,2,2,4,0.2
13992,F,122,16,6,40,0,1,1,2,0.08,2,2,4,0.2
13978,F,142,16,6,46,0,1,1,2,0.08,2,2,4,0.2
12644,M,135,14,8,38,0,1,1,2,0.08,2,2,4,0.2
13177,M,159,16,7,42,0,1,1,2,0.08,2,2,4,0.2
12399,M,120,16,6,48,1,1,1,2,0.08,2,2,4,0.2
13921,F,154,14,8,32,1,1,1,2,0.08,2,2,4,0.2
13382,F,148,14,8,42,0,1,1,2,0.08,2,2,4,0.2
13302,F,142,16,7,34,0,1,1,2,0.08,2,2,4,0.2
13862,F,220,14,3,30,0,1,2,1,0.037344398,2,3,3,0.2
12067,M,198,16,5,36,1,1,1,2,0.08,2,3,3,0.2
13776,F,196,16,4,36,0,1,1,2,0.08,2,3,3,0.2
13003,F,238,16,4,32,0,1,2,2,0.073275862,2,3,3,0.2
12213,M,212,16,5,38,1,1,2,2,0.073275862,2,3,3,0.2
13214,F,200,14,5,30,0,1,1,2,0.08,2,3,3,0.2
12248,F,238,16,5,38,0,1,2,2,0.073275862,2,3,3,0.2
13975,F,198,16,5,34,0,1,1,2,0.08,2,3,3,0.2
12151,M,232,14,4,30,0,1,2,2,0.073275862,2,3,3,0.2
13904,F,225,14,5,38,0,1,2,2,0.073275862,2,3,3,0.2
12423,M,283,6,1,6,0,2,2,1,0.116607774,4,4,1,0.2
12006,F,279,6,1,6,0,2,2,1,0.116607774,4,4,1,0.2
13757,M,285,8,1,8,1,2,2,1,0.116607774,4,4,1,0.2
13783,F,274,8,1,8,1,2,2,1,0.116607774,4,4,1,0.2
13473,M,268,8,1,8,0,2,2,1,0.116607774,4,4,1,0.2
13570,F,244,6,1,6,0,2,2,1,0.116607774,4,4,1,0.2
12023,F,287,6,1,6,0,2,2,1,0.116607774,4,4,1,0.2
13553,F,296,8,1,8,0,2,2,1,0.116607774,4,4,1,0.2
12047,M,283,8,1,8,0,2,2,1,0.116607774,4,4,1,0.2
13446,F,259,8,1,8,0,2,2,1,0.116607774,4,4,1,0.2
13575,F,157,2,3,10,0,2,1,1,0.052511416,5,2,3,0.2
13334,F,165,4,4,20,0,2,1,2,0.155339806,5,2,3,0.2
13766,F,136,2,5,16,0,2,1,2,0.155339806,5,2,3,0.2
12827,M,174,2,4,20,1,2,1,2,0.155339806,5,2,3,0.2
12728,F,175,4,3,12,0,2,1,1,0.052511416,5,2,3,0.2
12016,F,165,2,3,12,0,2,1,1,0.052511416,5,2,3,0.2
12500,F,170,2,3,18,0,2,1,1,0.052511416,5,2,3,0.2
13933,F,168,4,3,16,0,2,1,1,0.052511416,5,2,3,0.2
12617,M,147,2,5,20,0,2,1,2,0.155339806,5,2,3,0.2
13298,F,127,2,4,16,1,2,1,2,0.155339806,5,2,3,0.2
12322,F,217,2,1,2,0,2,2,1,0.116607774,5,3,1,0.2
13398,F,182,4,1,4,0,2,1,1,0.052511416,5,3,1,0.2
13676,F,192,4,1,4,0,2,1,1,0.052511416,5,3,1,0.2
13094,M,230,2,1,2,1,2,2,1,0.116607774,5,3,1,0.2
13254,F,235,2,1,2,0,2,2,1,0.116607774,5,3,1,0.2
12221,M,217,2,1,2,0,2,2,1,0.116607774,5,3,1,0.2
13864,F,216,2,1,2,1,2,2,1,0.116607774,5,3,1,0.2
12813,F,204,4,1,4,0,2,1,1,0.052511416,5,3,1,0.2
12634,F,230,2,1,2,0,2,2,1,0.116607774,5,3,1,0.2
13167,F,227,4,1,4,0,2,2,1,0.116607774,5,3,1,0.2
13920,F,221,2,1,2,0,2,2,1,0.116607774,5,3,1,0.2
12760,M,230,4,1,4,1,2,2,1,0.116607774,5,3,1,0.2
13325,F,226,4,1,4,0,2,2,1,0.116607774,5,3,1,0.2
12752,M,190,4,1,4,0,2,1,1,0.052511416,5,3,1,0.2
13548,F,183,2,1,2,1,2,1,1,0.052511416,5,3,1,0.2
12276,F,205,4,1,4,0,2,1,1,0.052511416,5,3,1,0.2
13053,F,215,4,1,4,0,2,2,1,0.116607774,5,3,1,0.2
13889,F,189,4,1,4,0,2,1,1,0.052511416,5,3,1,0.2
13687,F,188,4,1,4,0,2,1,1,0.052511416,5,3,1,0.2
12338,M,182,2,1,2,0,2,1,1,0.052511416,5,3,1,0.2
13878,F,247,2,4,22,0,2,2,2,0.174418605,5,4,3,0.2
12458,F,250,2,3,8,0,2,2,1,0.116607774,5,4,3,0.2
13496,M,294,2,3,10,0,2,2,1,0.116607774,5,4,3,0.2
12784,M,270,4,4,22,1,2,2,2,0.174418605,5,4,3,0.2
13896,F,243,2,4,16,0,2,2,2,0.174418605,5,4,3,0.2
12749,F,325,4,10,56,0,2,2,2,0.174418605,5,5,5,0.2
12103,M,401,4,12,70,0,2,2,2,0.174418605,5,5,5,0.2
12700,M,341,2,12,40,1,2,2,2,0.174418605,5,5,5,0.2
13068,M,408,2,11,46,0,2,2,2,0.174418605,5,5,5,0.2
13774,M,412,2,11,28,0,2,2,2,0.174418605,5,5,5,0.2
13603,F,310,4,10,38,0,2,2,2,0.174418605,5,5,5,0.2
13658,F,365,4,12,74,0,2,2,2,0.174418605,5,5,5,0.2
12051,F,347,4,12,38,0,2,2,2,0.174418605,5,5,5,0.2
12600,F,357,2,10,38,1,2,2,2,0.174418605,5,5,5,0.2
13678,F,437,4,12,52,0,2,2,2,0.174418605,5,5,5,0.2
13588,F,338,4,12,50,1,2,2,2,0.174418605,5,5,5,0.2
13846,F,437,2,11,24,0,2,2,2,0.174418605,5,5,5,0.2
12380,F,353,4,11,54,0,2,2,2,0.174418605,5,5,5,0.2
12773,F,475,4,12,52,0,2,2,2,0.174418605,5,5,5,0.2
13777,F,323,4,10,32,0,2,2,2,0.174418605,5,5,5,0.2
13479,F,274,10,8,26,0,2,2,2,0.174418605,3,4,4,0.1875
13843,M,243,12,9,52,1,2,2,2,0.174418605,3,4,4,0.1875
12094,M,280,10,8,34,1,2,2,2,0.174418605,3,4,4,0.1875
12942,F,281,12,7,26,0,2,2,2,0.174418605,3,4,4,0.1875
12966,F,259,12,8,44,0,2,2,2,0.174418605,3,4,4,0.1875
13636,F,287,10,7,28,0,2,2,2,0.174418605,3,4,4,0.1875
12731,F,267,12,6,38,0,2,2,2,0.174418605,3,4,4,0.1875
13532,M,258,10,8,32,0,2,2,2,0.174418605,3,4,4,0.1875
12842,F,287,12,7,40,0,2,2,2,0.174418605,3,4,4,0.1875
12812,M,268,12,7,46,1,2,2,2,0.174418605,3,4,4,0.1875
12007,F,273,10,7,42,0,2,2,2,0.174418605,3,4,4,0.1875
12905,F,299,12,7,34,0,2,2,2,0.174418605,3,4,4,0.1875
13916,M,262,10,6,32,0,2,2,2,0.174418605,3,4,4,0.1875
12680,F,258,10,7,38,0,2,2,2,0.174418605,3,4,4,0.1875
13308,F,246,10,8,32,0,2,2,2,0.174418605,3,4,4,0.1875
13619,F,251,12,8,44,0,2,2,2,0.174418605,3,4,4,0.1875
13079,F,293,16,8,42,0,1,2,2,0.073275862,2,4,4,0.176470588
13633,M,256,16,8,60,0,1,2,2,0.073275862,2,4,4,0.176470588
13974,F,283,14,9,58,0,1,2,2,0.073275862,2,4,4,0.176470588
12518,F,275,16,6,38,0,1,2,2,0.073275862,2,4,4,0.176470588
13551,F,266,14,8,36,0,1,2,2,0.073275862,2,4,4,0.176470588
13024,F,248,16,7,44,0,1,2,2,0.073275862,2,4,4,0.176470588
12881,F,263,14,6,32,0,1,2,2,0.073275862,2,4,4,0.176470588
13592,F,280,14,9,62,0,1,2,2,0.073275862,2,4,4,0.176470588
13511,F,249,16,7,48,0,1,2,2,0.073275862,2,4,4,0.176470588
13760,M,259,14,7,34,1,1,2,2,0.073275862,2,4,4,0.176470588
12022,F,254,14,6,38,0,1,2,2,0.073275862,2,4,4,0.176470588
13055,M,248,16,8,38,1,1,2,2,0.073275862,2,4,4,0.176470588
12566,F,292,16,8,62,0,1,2,2,0.073275862,2,4,4,0.176470588
12388,F,273,16,6,38,0,1,2,2,0.073275862,2,4,4,0.176470588
12140,F,250,14,9,42,0,1,2,2,0.073275862,2,4,4,0.176470588
12988,M,278,16,6,48,1,1,2,2,0.073275862,2,4,4,0.176470588
13369,M,249,14,8,40,0,1,2,2,0.073275862,2,4,4,0.176470588
12280,F,296,4,1,4,0,2,2,1,0.116607774,5,4,1,0.176470588
13858,F,256,2,1,2,0,2,2,1,0.116607774,5,4,1,0.176470588
13362,M,274,2,1,2,1,2,2,1,0.116607774,5,4,1,0.176470588
12932,M,263,2,1,2,0,2,2,1,0.116607774,5,4,1,0.176470588
12806,F,247,4,1,4,0,2,2,1,0.116607774,5,4,1,0.176470588
12263,M,243,4,1,4,0,2,2,1,0.116607774,5,4,1,0.176470588
13751,F,273,2,1,2,0,2,2,1,0.116607774,5,4,1,0.176470588
12913,F,250,2,1,2,0,2,2,1,0.116607774,5,4,1,0.176470588
13801,M,287,2,1,2,0,2,2,1,0.116607774,5,4,1,0.176470588
12940,F,285,2,1,2,0,2,2,1,0.116607774,5,4,1,0.176470588
12523,F,252,2,1,2,0,2,2,1,0.116607774,5,4,1,0.176470588
12013,F,276,4,1,4,1,2,2,1,0.116607774,5,4,1,0.176470588
13609,F,243,4,1,4,0,2,2,1,0.116607774,5,4,1,0.176470588
12575,F,291,2,1,2,1,2,2,1,0.116607774,5,4,1,0.176470588
13703,F,299,2,1,2,0,2,2,1,0.116607774,5,4,1,0.176470588
12247,F,266,2,1,2,0,2,2,1,0.116607774,5,4,1,0.176470588
14000,M,245,2,1,2,0,2,2,1,0.116607774,5,4,1,0.176470588
12862,F,217,12,1,12,0,2,2,1,0.116607774,3,3,1,0.172413793
13879,F,216,10,1,10,1,2,2,1,0.116607774,3,3,1,0.172413793
13159,F,233,10,1,10,0,2,2,1,0.116607774,3,3,1,0.172413793
12955,F,237,12,1,12,0,2,2,1,0.116607774,3,3,1,0.172413793
12275,F,203,10,1,10,0,2,1,1,0.052511416,3,3,1,0.172413793
13462,F,224,10,1,10,0,2,2,1,0.116607774,3,3,1,0.172413793
12787,F,234,10,1,10,0,2,2,1,0.116607774,3,3,1,0.172413793
13035,F,225,12,1,12,0,2,2,1,0.116607774,3,3,1,0.172413793
12065,F,234,10,1,10,0,2,2,1,0.116607774,3,3,1,0.172413793
12466,M,199,10,1,10,0,2,1,1,0.052511416,3,3,1,0.172413793
12290,F,196,10,1,10,0,2,1,1,0.052511416,3,3,1,0.172413793
12005,M,223,10,1,10,1,2,2,1,0.116607774,3,3,1,0.172413793
12324,F,232,10,1,10,0,2,2,1,0.116607774,3,3,1,0.172413793
12846,F,240,12,1,12,0,2,2,1,0.116607774,3,3,1,0.172413793
13779,F,193,12,1,12,0,2,1,1,0.052511416,3,3,1,0.172413793
12758,M,191,12,1,12,0,2,1,1,0.052511416,3,3,1,0.172413793
12638,M,228,12,1,12,0,2,2,1,0.116607774,3,3,1,0.172413793
12963,M,192,10,1,10,1,2,1,1,0.052511416,3,3,1,0.172413793
12637,F,195,12,1,12,0,2,1,1,0.052511416,3,3,1,0.172413793
12459,F,184,12,1,12,0,2,1,1,0.052511416,3,3,1,0.172413793
13330,F,237,12,1,12,1,2,2,1,0.116607774,3,3,1,0.172413793
12660,M,212,10,1,10,0,2,2,1,0.116607774,3,3,1,0.172413793
13755,F,226,12,1,12,0,2,2,1,0.116607774,3,3,1,0.172413793
13929,F,211,12,1,12,0,2,2,1,0.116607774,3,3,1,0.172413793
13176,F,227,10,1,10,0,2,2,1,0.116607774,3,3,1,0.172413793
12727,M,192,12,1,12,0,2,1,1,0.052511416,3,3,1,0.172413793
13449,F,238,10,1,10,0,2,2,1,0.116607774,3,3,1,0.172413793
13767,M,203,12,1,12,1,2,1,1,0.052511416,3,3,1,0.172413793
13537,M,218,12,1,12,0,2,2,1,0.116607774,3,3,1,0.172413793
12828,F,238,8,4,28,0,2,2,2,0.174418605,4,3,3,0.166666667
13316,M,194,6,4,24,0,2,1,2,0.155339806,4,3,3,0.166666667
13546,F,202,8,4,30,0,2,1,2,0.155339806,4,3,3,0.166666667
12091,M,234,8,5,24,1,2,2,2,0.174418605,4,3,3,0.166666667
13994,F,224,6,3,16,0,2,2,1,0.116607774,4,3,3,0.166666667
13291,F,214,6,5,20,0,2,2,2,0.174418605,4,3,3,0.166666667
12747,F,268,8,4,30,1,2,2,2,0.174418605,4,4,3,0.166666667
13934,F,258,6,3,20,0,2,2,1,0.116607774,4,4,3,0.166666667
13383,F,253,8,3,18,0,2,2,1,0.116607774,4,4,3,0.166666667
12279,M,273,8,3,16,0,2,2,1,0.116607774,4,4,3,0.166666667
12107,F,263,6,3,24,0,2,2,1,0.116607774,4,4,3,0.166666667
12885,F,274,6,4,26,0,2,2,2,0.174418605,4,4,3,0.166666667
12981,F,230,2,12,32,0,2,2,2,0.174418605,5,3,5,0.166666667
12757,F,211,4,10,50,0,2,2,2,0.174418605,5,3,5,0.166666667
12127,F,217,4,10,54,1,2,2,2,0.174418605,5,3,5,0.166666667
13512,F,194,2,11,38,0,2,1,2,0.155339806,5,3,5,0.166666667
12425,F,238,4,11,40,0,2,2,2,0.174418605,5,3,5,0.166666667
12761,F,199,4,10,34,0,2,1,2,0.155339806,5,3,5,0.166666667
12903,M,297,8,9,34,0,2,2,2,0.174418605,4,4,4,0.153846154
13405,F,247,6,9,34,0,2,2,2,0.174418605,4,4,4,0.153846154
